DNA_plate_well,DNA_plate,DNA_well,Cohort,collection_date,isolation_source,counts
plate_7_H9,plate_7,H9,Control,2017-01-31,29665,16528435
plate_8_A1,plate_8,A1,ColiGuard,2017-01-31,14306,11043933
plate_8_A10,plate_8,A10,ColiGuard,2017-02-10,14306,20606636
plate_8_A11,plate_8,A11,Control,2017-02-10,29654,18725252
plate_8_A12,plate_8,A12,Control,2017-02-01,14160,1959661
plate_8_A2,plate_8,A2,Control,2017-01-31,29706,11934449
plate_8_A3,plate_8,A3,Neomycin,2017-01-31,29647,15522838
plate_8_A4,plate_8,A4,ColiGuard,2017-02-07,14183,19872176
plate_8_A5,plate_8,A5,Neomycin+ColiGuard,2017-01-31,29655,18072615
plate_8_A6,plate_8,A6,Neomycin,2017-01-31,14190,10574137
plate_8_A7,plate_8,A7,Control,2017-02-10,29666,13717780
plate_8_A8,plate_8,A8,Neomycin+D-Scour,2017-01-31,14287,13916982
plate_8_A9,plate_8,A9,ColiGuard,2017-02-07,14275,16210618
plate_8_B1,plate_8,B1,D-Scour,2017-02-10,14317,13427212
plate_8_B10,plate_8,B10,Neomycin+ColiGuard,2017-02-07,29702,12682598
plate_8_B11,plate_8,B11,Neomycin+ColiGuard,2017-01-31,14274,14601384
plate_8_B12,plate_8,B12,D-Scour,2017-01-31,14172,22071541
plate_8_B2,plate_8,B2,Neomycin+ColiGuard,2017-01-31,29745,14445012
plate_8_B3,plate_8,B3,Neomycin+D-Scour,2017-02-07,29934,13567947
plate_8_B4,plate_8,B4,D-Scour,2017-02-07,14172,19505785
plate_8_B5,plate_8,B5,Neomycin,2017-01-31,29753,15007541
plate_8_B6,plate_8,B6,Neomycin+D-Scour,2017-02-07,29931,14376295
plate_8_B7,plate_8,B7,D-Scour,2017-02-10,14159,10002672
plate_8_B8,plate_8,B8,ColiGuard,2017-02-10,29704,16890282
plate_8_B9,plate_8,B9,ColiGuard,2017-01-31,14209,15631201
plate_8_C1,plate_8,C1,NegativeControl,,NegativeControl,19258
plate_8_C10,plate_8,C10,Control,2017-02-07,29705,20265107
plate_8_C11,plate_8,C11,Control,2017-02-10,14187,18526640
plate_8_C12,plate_8,C12,D-Scour,2017-01-31,29765,13664774
plate_8_C2,plate_8,C2,Control,2017-01-31,29945,13922372
plate_8_C3,plate_8,C3,Control,2017-02-07,29948,10893644
plate_8_C4,plate_8,C4,Neomycin,2017-01-31,29718,17408543
plate_8_C5,plate_8,C5,Neomycin+ColiGuard,2017-01-31,29645,14610562
plate_8_C6,plate_8,C6,Neomycin+ColiGuard,2017-01-31,29679,14641903
plate_8_C7,plate_8,C7,Neomycin+D-Scour,2017-02-07,14320,12847011
plate_8_C8,plate_8,C8,D-Scour,2017-01-31,29792,12056802
plate_8_C9,plate_8,C9,Neomycin+D-Scour,2017-01-31,29865,8389530
plate_8_D1,plate_8,D1,Control,2017-01-31,14277,11035147
plate_8_D10,plate_8,D10,Control,2017-02-07,14286,13506825
plate_8_D11,plate_8,D11,Neomycin+D-Scour,2017-01-31,14193,20780988
plate_8_D12,plate_8,D12,Neomycin+D-Scour,2017-01-31,29667,12226360
plate_8_D2,plate_8,D2,Neomycin,2017-01-31,29718,13556312
plate_8_D3,plate_8,D3,ColiGuard,2017-02-07,29700,17666689
plate_8_D4,plate_8,D4,D-Scour,2017-01-31,14276,18170583
plate_8_D5,plate_8,D5,Control,2017-01-31,29867,20324899
plate_8_D6,plate_8,D6,D-Scour,2017-02-10,29752,14873194
plate_8_D7,plate_8,D7,Control,2017-01-31,29705,9566303
plate_8_D8,plate_8,D8,Control,2017-01-31,14204,13927512
plate_8_D9,plate_8,D9,ColiGuard,2017-02-07,14308,16505119
plate_8_E1,plate_8,E1,Neomycin+ColiGuard,2017-02-03,14263,40932020
plate_8_E10,plate_8,E10,Neomycin+ColiGuard,2017-01-31,14274,23120459
plate_8_E11,plate_8,E11,Neomycin,2017-01-31,29946,6203
plate_8_E12,plate_8,E12,D-Scour,2017-02-08,14317,14736353
plate_8_E2,plate_8,E2,ColiGuard,2017-01-31,29901,6787944
plate_8_E3,plate_8,E3,Control,2017-01-31,29912,21564466
plate_8_E4,plate_8,E4,Control,2017-02-07,29665,14121685
plate_8_E5,plate_8,E5,ColiGuard,2017-02-07,29692,14975628
plate_8_E6,plate_8,E6,Neomycin+ColiGuard,2017-01-31,29943,13525176
plate_8_E7,plate_8,E7,D-Scour,2017-02-07,14262,11442079
plate_8_E8,plate_8,E8,ColiGuard,2017-02-07,14163,17259181
plate_8_E9,plate_8,E9,D-Scour,2017-01-31,14273,11324047
plate_8_F1,plate_8,F1,PosControl_ColiGuard,2018-01-24,ColiGuard,16485393
plate_8_F10,plate_8,F10,Control,2017-01-31,29876,11000396
plate_8_F11,plate_8,F11,Neomycin+D-Scour,2017-01-31,29951,15542683
plate_8_F12,plate_8,F12,Control,2017-01-31,14286,14706926
plate_8_F2,plate_8,F2,Neomycin+ColiGuard,2017-02-03,14260,16785834
plate_8_F3,plate_8,F3,PosControl_D-Scour,2018-01-24,Protexin,16379099
plate_8_F4,plate_8,F4,Control,2017-01-31,14161,9158883
plate_8_F5,plate_8,F5,Control,2017-03-03,14322,12440039
plate_8_F6,plate_8,F6,D-Scour,2017-01-31,14233,16286731
plate_8_F7,plate_8,F7,ColiGuard,2017-01-31,29863,14895483
plate_8_F8,plate_8,F8,Neomycin,2017-01-31,29796,15513748
plate_8_F9,plate_8,F9,Neomycin,2017-02-08,14208,16491098
plate_8_G1,plate_8,G1,MockCommunity,2017-08-14,MockCommunity,104593569
plate_8_G10,plate_8,G10,ColiGuard,2017-02-24,29924,14597667
plate_8_G11,plate_8,G11,D-Scour,2017-02-24,14317,21157100
plate_8_G12,plate_8,G12,Neomycin,2017-01-31,14265,127778420
plate_8_G2,plate_8,G2,Control,2017-02-07,29898,10539257
plate_8_G3,plate_8,G3,Neomycin,2017-01-31,29694,21006479
plate_8_G4,plate_8,G4,Control,2017-02-01,14160,19667814
plate_8_G5,plate_8,G5,Neomycin+ColiGuard,2017-01-31,29643,18730586
plate_8_G6,plate_8,G6,ColiGuard,2017-01-31,14275,17688904
plate_8_G7,plate_8,G7,Neomycin+ColiGuard,2017-02-07,14263,12926323
plate_8_G8,plate_8,G8,Neomycin+D-Scour,2017-01-31,29951,14858991
plate_8_G9,plate_8,G9,D-Scour,2017-01-31,29752,15582577
plate_8_H1,plate_8,H1,D-Scour,2017-01-31,29742,15279365
plate_8_H10,plate_8,H10,Control,2017-01-31,29913,22013420
plate_8_H11,plate_8,H11,Control,2017-01-31,29898,18081092
plate_8_H12,plate_8,H12,Control,2017-02-07,29939,13712183
plate_8_H2,plate_8,H2,NegativeControl,,NegativeControl,10397
plate_8_H3,plate_8,H3,ColiGuard,2017-01-31,14284,12587403
plate_8_H4,plate_8,H4,D-Scour,2017-02-01,14273,21435871
plate_8_H5,plate_8,H5,Control,2017-01-31,29962,15985709
plate_8_H6,plate_8,H6,Neomycin+ColiGuard,2017-02-07,29679,11467903
plate_8_H7,plate_8,H7,Neomycin+ColiGuard,2017-02-07,14260,16885404
plate_8_H8,plate_8,H8,D-Scour,2017-01-31,29778,16752610
plate_8_H9,plate_8,H9,Neomycin+D-Scour,2017-01-31,14174,25438267
plate_9_A1,plate_9,A1,Neomycin,2017-02-06,29693,18483295
plate_9_A10,plate_9,A10,Control,2017-03-07,29962,18790620
plate_9_A2,plate_9,A2,Mothers,2017-01-30,T12057,16066321
plate_9_A3,plate_9,A3,Neomycin+D-Scour,2017-03-06,14287,14417145
plate_9_A4,plate_9,A4,ColiGuard,2017-03-07,29704,14879905
plate_9_A5,plate_9,A5,Neomycin,2017-03-09,29949,18458407
plate_9_A6,plate_9,A6,D-Scour,2017-02-16,14273,18112294
plate_9_A7,plate_9,A7,Neomycin,2017-03-10,29668,14566948
plate_9_A8,plate_9,A8,MockCommunity,2017-08-14,MockCommunity,15788257
plate_9_A9,plate_9,A9,ColiGuard,2017-03-08,14308,11796944
plate_9_B1,plate_9,B1,Mothers,2017-01-30,21508,18509154
plate_9_B10,plate_9,B10,ColiGuard,2017-02-16,14231,11712920
plate_9_B2,plate_9,B2,Neomycin,2017-03-09,29796,20408988
plate_9_B3,plate_9,B3,D-Scour,2017-02-16,29914,16132201
plate_9_B4,plate_9,B4,Mothers,2017-01-30,32771,17724293
plate_9_B5,plate_9,B5,NegativeControl,,NegativeControl,18202605
plate_9_B6,plate_9,B6,Neomycin,2017-02-06,14207,18853628
plate_9_B7,plate_9,B7,Neomycin+D-Scour,2017-03-06,29931,12099809
plate_9_B8,plate_9,B8,Mothers,2017-01-30,319427,16023829
plate_9_B9,plate_9,B9,Neomycin+ColiGuard,2017-02-17,29645,9542200
plate_9_C1,plate_9,C1,Neomycin+ColiGuard,2017-03-08,29715,12676484
plate_9_C10,plate_9,C10,ColiGuard,2017-03-10,14209,18894995
plate_9_C2,plate_9,C2,ColiGuard,2017-03-10,14307,12397591
plate_9_C3,plate_9,C3,Control,2017-02-06,14204,19865513
plate_9_C4,plate_9,C4,Mothers,2017-01-30,315875,18438295
plate_9_C5,plate_9,C5,Neomycin+ColiGuard,2017-02-17,14171,16583538
plate_9_C6,plate_9,C6,Mothers,2017-01-30,9128,15014846
plate_9_C7,plate_9,C7,D-Scour,2017-02-16,14233,18025872
plate_9_C8,plate_9,C8,Mothers,2017-01-30,40519,17495768
plate_9_C9,plate_9,C9,D-Scour,2017-03-08,29765,7293482
plate_9_D1,plate_9,D1,Neomycin+D-Scour,2017-02-17,14298,13656653
plate_9_D10,plate_9,D10,Mothers,2017-01-30,B11802,23615952
plate_9_D2,plate_9,D2,ColiGuard,2017-02-16,29901,20156995
plate_9_D3,plate_9,D3,Neomycin,2017-03-10,14265,21208110
plate_9_D4,plate_9,D4,Mothers,2017-01-30,60581,17330450
plate_9_D5,plate_9,D5,Neomycin,2017-02-06,29647,24605612
plate_9_D6,plate_9,D6,Neomycin+ColiGuard,2017-02-17,29900,20567228
plate_9_D7,plate_9,D7,Control,2017-03-09,14322,15426000
plate_9_D8,plate_9,D8,Control,2017-02-06,29945,13504322
plate_9_D9,plate_9,D9,Neomycin+ColiGuard,2017-03-08,14260,10649271
plate_9_E1,plate_9,E1,Neomycin+D-Scour,2017-03-06,14320,26843776
plate_9_E10,plate_9,E10,Mothers,2017-01-30,32365,21892338
plate_9_E2,plate_9,E2,Mothers,2017-01-30,316703,18823701
plate_9_E3,plate_9,E3,Neomycin+D-Scour,2017-03-06,29667,12687554
plate_9_E4,plate_9,E4,Mothers,2017-01-30,40516,18201069
plate_9_E5,plate_9,E5,Mothers,2017-01-30,60690,18728260
plate_9_E6,plate_9,E6,Neomycin+ColiGuard,2017-03-10,14263,14501738
plate_9_E7,plate_9,E7,ColiGuard,2017-03-07,14288,16000937
plate_9_E8,plate_9,E8,Neomycin+ColiGuard,2017-03-10,14297,14599296
plate_9_E9,plate_9,E9,D-Scour,2017-03-09,29752,14482064
plate_9_F1,plate_9,F1,Control,2017-02-06,29867,18199352
plate_9_F10,plate_9,F10,Mothers,2017-01-30,210080,19483090
plate_9_F2,plate_9,F2,Control,2017-03-06,29948,19570730
plate_9_F3,plate_9,F3,ColiGuard,2017-03-08,29700,20110224
plate_9_F4,plate_9,F4,Neomycin,2017-03-07,29847,10089577
plate_9_F5,plate_9,F5,Mothers,2017-01-30,Y09733,9771261
plate_9_F6,plate_9,F6,Mothers,2017-01-30,21560,12950606
plate_9_F7,plate_9,F7,NegativeControl,,NegativeControl,7371015
plate_9_F8,plate_9,F8,Mothers,2017-01-30,Y08266,26017204
plate_9_F9,plate_9,F9,Mothers,2017-01-30,T11600,17627647
plate_9_G1,plate_9,G1,Neomycin+ColiGuard,2017-03-07,29646,28886692
plate_9_G10,plate_9,G10,Control,2017-03-06,29654,24500724
plate_9_G2,plate_9,G2,Control,2017-03-07,29705,13461706
plate_9_G3,plate_9,G3,Mothers,2017-01-30,706402,24729539
plate_9_G4,plate_9,G4,Neomycin+D-Scour,2017-02-17,14193,18290756
plate_9_G5,plate_9,G5,Mothers,2017-01-30,316981,22845522
plate_9_G6,plate_9,G6,Neomycin+D-Scour,2017-02-17,29691,19290565
plate_9_G7,plate_9,G7,Mothers,2017-01-30,212211,16457763
plate_9_G8,plate_9,G8,PosControl_ColiGuard,2018-01-24,ColiGuard,14692002
plate_9_G9,plate_9,G9,Neomycin+D-Scour,2017-03-09,29652,23281527
plate_9_H1,plate_9,H1,Neomycin,2017-03-07,29793,11928952
plate_9_H10,plate_9,H10,Neomycin+ColiGuard,2017-03-08,14195,21146398
plate_9_H2,plate_9,H2,Control,2017-03-09,29707,16120624
plate_9_H3,plate_9,H3,D-Scour,2017-03-09,14159,17295828
plate_9_H4,plate_9,H4,Neomycin+D-Scour,2017-03-08,29934,13571691
plate_9_H5,plate_9,H5,PosControl_D-Scour,2018-01-24,Protexin,18756568
plate_9_H6,plate_9,H6,Neomycin,2017-03-07,29694,14829562
plate_9_H7,plate_9,H7,Neomycin+D-Scour,2017-03-08,29703,14605427
plate_9_H8,plate_9,H8,ColiGuard,2017-02-16,29863,11112631
plate_9_H9,plate_9,H9,Control,2017-03-09,29913,20081443
