DNA_plate_well,DNA_plate,DNA_well,Cohort,collection_date,isolation_source,counts
plate_10_G6,plate_10,G6,NegativeControl,,NegativeControl,16017298
plate_10_G7,plate_10,G7,Mothers,2017-01-30,315376,20953529
plate_10_G8,plate_10,G8,Neomycin,2017-03-09,14208,21570120
plate_10_G9,plate_10,G9,D-Scour,2017-03-06,29864,24094354
plate_10_H1,plate_10,H1,Control,2017-03-06,14184,19542013
plate_10_H10,plate_10,H10,D-Scour,2017-02-16,14172,20210099
plate_10_H2,plate_10,H2,Neomycin+D-Scour,2017-03-09,14194,16879649
plate_10_H3,plate_10,H3,Neomycin+ColiGuard,2017-03-08,29702,19486032
plate_10_H4,plate_10,H4,Neomycin+D-Scour,2017-02-17,14174,12456521
plate_10_H5,plate_10,H5,ColiGuard,2017-03-10,14188,18039474
plate_10_H6,plate_10,H6,Neomycin+D-Scour,2017-03-08,29951,12963036
plate_10_H7,plate_10,H7,Neomycin+ColiGuard,2017-03-10,29679,16941695
plate_10_H8,plate_10,H8,Control,2017-03-07,29665,15378564
plate_10_H9,plate_10,H9,D-Scour,2017-02-16,14172,19500397
plate_2_A1,plate_2,A1,ColiGuard,2017-02-28,14209,1795239
plate_2_A10,plate_2,A10,Neomycin,2017-02-14,29777,18718309
plate_2_A11,plate_2,A11,ColiGuard,2017-02-21,14288,18913719
plate_2_A12,plate_2,A12,ColiGuard,2017-02-21,29924,9723215
plate_2_A2,plate_2,A2,Neomycin+D-Scour,2017-02-14,14298,24939575
plate_2_A3,plate_2,A3,D-Scour,2017-02-21,14276,18636850
plate_2_A4,plate_2,A4,Neomycin+D-Scour,2017-02-14,29652,17737103
plate_2_A5,plate_2,A5,Neomycin,2017-02-14,14208,16159965
plate_2_A6,plate_2,A6,ColiGuard,2017-02-14,14306,24257885
plate_2_A7,plate_2,A7,Control,2017-02-14,29654,17198822
plate_2_A8,plate_2,A8,Control,2017-02-28,29666,14653638
plate_2_A9,plate_2,A9,Neomycin+D-Scour,2017-02-28,29961,14818230
plate_2_B1,plate_2,B1,ColiGuard,2017-02-14,29924,2013019
plate_2_B10,plate_2,B10,Neomycin,2017-02-14,29781,12168862
plate_2_B11,plate_2,B11,Neomycin+D-Scour,2017-02-21,29667,8008590
plate_2_B12,plate_2,B12,Neomycin,2017-02-21,14208,22008798
plate_2_B2,plate_2,B2,Control,2017-02-28,14187,19787137
plate_2_B3,plate_2,B3,Neomycin,2017-02-28,14208,23118316
plate_2_B4,plate_2,B4,Neomycin+D-Scour,2017-02-14,29865,22006635
plate_2_B5,plate_2,B5,NegativeControl,,NegativeControl,109594
plate_2_B6,plate_2,B6,Neomycin+ColiGuard,2017-02-14,29643,18608854
plate_2_B7,plate_2,B7,Control,2017-02-28,29665,13450454
plate_2_B8,plate_2,B8,D-Scour,2017-02-28,29875,17540982
plate_2_B9,plate_2,B9,Neomycin,2017-02-14,29796,11020266
plate_2_C1,plate_2,C1,ColiGuard,2017-02-14,29692,1531895
plate_2_C10,plate_2,C10,D-Scour,2017-02-21,29875,20156322
plate_2_C11,plate_2,C11,Neomycin+D-Scour,2017-02-14,29754,9041795
plate_2_C12,plate_2,C12,Neomycin+ColiGuard,2017-02-14,29646,15580739
plate_2_C2,plate_2,C2,Control,2017-02-21,29665,14550713
plate_2_C3,plate_2,C3,Neomycin,2017-02-14,29847,18568569
plate_2_C4,plate_2,C4,Neomycin+ColiGuard,2017-02-28,29646,22496417
plate_2_C5,plate_2,C5,ColiGuard,2017-02-14,29704,16468009
plate_2_C6,plate_2,C6,ColiGuard,2017-02-14,29700,12754478
plate_2_C7,plate_2,C7,Neomycin+ColiGuard,2017-02-14,14195,20805666
plate_2_C8,plate_2,C8,ColiGuard,2017-02-21,29700,17060080
plate_2_C9,plate_2,C9,MockCommunity,2017-08-14,MockCommunity,8652765
plate_2_E1,plate_2,E1,D-Scour,2017-02-28,29742,46068557
plate_2_E10,plate_2,E10,D-Scour,2017-02-14,29752,14371137
plate_2_E11,plate_2,E11,Neomycin+ColiGuard,2017-02-14,14186,12443003
plate_2_E12,plate_2,E12,D-Scour,2017-02-21,14317,18667242
plate_2_E2,plate_2,E2,D-Scour,2017-02-21,29742,21037409
plate_2_E3,plate_2,E3,Neomycin,2017-02-28,29668,18571810
plate_2_E4,plate_2,E4,ColiGuard,2017-02-28,14306,23477064
plate_2_E5,plate_2,E5,D-Scour,2017-02-14,14262,16937039
plate_2_E6,plate_2,E6,D-Scour,2017-02-21,29864,13208057
plate_2_E7,plate_2,E7,Neomycin+ColiGuard,2017-02-21,29715,24377168
plate_2_E8,plate_2,E8,Neomycin+ColiGuard,2017-02-14,29702,11876434
plate_2_E9,plate_2,E9,D-Scour,2017-02-14,29914,16446656
plate_2_F1,plate_2,F1,Control,2017-02-28,29948,23989674
plate_2_F10,plate_2,F10,Neomycin+D-Scour,2017-02-28,29931,16039674
plate_2_F11,plate_2,F11,Control,2017-02-21,29705,9070676
plate_2_F12,plate_2,F12,Neomycin,2017-02-14,29668,15657247
plate_2_F2,plate_2,F2,Neomycin,2017-02-14,29753,19673468
plate_2_F3,plate_2,F3,Control,2017-02-14,29948,17032844
plate_2_F4,plate_2,F4,NegativeControl,,NegativeControl,5295640
plate_2_F5,plate_2,F5,Neomycin+D-Scour,2017-02-21,29951,14366951
plate_2_F6,plate_2,F6,Neomycin+D-Scour,2017-02-14,29931,15706904
plate_2_F7,plate_2,F7,D-Scour,2017-02-14,29875,15126232
plate_2_F8,plate_2,F8,Neomycin,2017-02-28,29694,19604567
plate_2_F9,plate_2,F9,Neomycin+ColiGuard,2017-02-14,14261,16699830
plate_2_G1,plate_2,G1,ColiGuard,2017-02-14,14308,64926365
plate_2_G10,plate_2,G10,Neomycin+ColiGuard,2017-02-21,29646,20339004
plate_2_G11,plate_2,G11,Neomycin,2017-02-28,14265,15772798
plate_2_G12,plate_2,G12,Neomycin+ColiGuard,2017-02-28,14261,26240815
plate_2_G2,plate_2,G2,ColiGuard,2017-02-21,29704,16491995
plate_2_G3,plate_2,G3,D-Scour,2017-02-14,29864,20666772
plate_2_G4,plate_2,G4,ColiGuard,2017-02-14,14209,15940681
plate_2_G5,plate_2,G5,Neomycin+ColiGuard,2017-02-21,14261,16836012
plate_2_G6,plate_2,G6,Neomycin+D-Scour,2017-02-21,29865,15303404
plate_2_G7,plate_2,G7,D-Scour,2017-02-14,29742,23231275
plate_2_G8,plate_2,G8,Neomycin,2017-02-21,29847,15930988
plate_2_G9,plate_2,G9,Neomycin+D-Scour,2017-02-14,29667,20417881
plate_2_H1,plate_2,H1,D-Scour,2017-02-21,29846,20656226
plate_2_H2,plate_2,H2,Neomycin,2017-02-21,29781,19123715
plate_2_H3,plate_2,H3,Neomycin+D-Scour,2017-02-28,29865,17910464
plate_2_H4,plate_2,H4,D-Scour,2017-02-14,14276,29214901
plate_2_H5,plate_2,H5,Neomycin+ColiGuard,2017-02-21,29643,21251519
plate_2_H6,plate_2,H6,Neomycin,2017-02-21,29753,8289223
plate_2_H7,plate_2,H7,ColiGuard,2017-02-14,14275,4999465
plate_2_H8,plate_2,H8,Control,2017-02-14,14184,14474263
plate_3_A1,plate_3,A1,D-Scour,2017-02-14,14159,15258253
plate_3_A10,plate_3,A10,D-Scour,2017-02-07,29792,18758045
plate_3_A11,plate_3,A11,Neomycin,2017-02-21,29796,15878556
plate_3_A12,plate_3,A12,D-Scour,2017-02-03,29752,13585865
plate_3_A2,plate_3,A2,Neomycin+ColiGuard,2017-02-14,14260,13554976
plate_3_A3,plate_3,A3,ColiGuard,2017-02-14,14288,12281533
plate_3_A4,plate_3,A4,ColiGuard,2017-02-21,14306,18532392
plate_3_A5,plate_3,A5,Neomycin+D-Scour,2017-02-07,29951,17384364
plate_3_A6,plate_3,A6,Control,2017-03-03,29705,10229675
