p_value,which_colldate,which_PC,comparison,group_1,group_2,groupsplit,test
0.276207634452135,t6,PC1,ColiGuard_vs_Control,ColiGuard,Control,all_t6,pairwise.t.test
0.187711193173508,t6,PC1,Control_vs_D-Scour,Control,D-Scour,all_t6,pairwise.t.test
0.509108662493441,t6,PC1,Control_vs_Neomycin,Control,Neomycin,all_t6,pairwise.t.test
0.382512631921355,t6,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t6,pairwise.t.test
0.609757635632739,t6,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t6,pairwise.t.test
0.500314853986538,t6,PC2,ColiGuard_vs_Control,ColiGuard,Control,all_t6,pairwise.t.test
0.00171726377456927,t6,PC2,Control_vs_D-Scour,Control,D-Scour,all_t6,pairwise.t.test
0.458310462401986,t6,PC2,Control_vs_Neomycin,Control,Neomycin,all_t6,pairwise.t.test
0.990911948179938,t6,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t6,pairwise.t.test
0.00404361534375691,t6,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t6,pairwise.t.test
0.873662340251462,t6,PC3,ColiGuard_vs_Control,ColiGuard,Control,all_t6,pairwise.t.test
0.763978129496294,t6,PC3,Control_vs_D-Scour,Control,D-Scour,all_t6,pairwise.t.test
0.765911487967569,t6,PC3,Control_vs_Neomycin,Control,Neomycin,all_t6,pairwise.t.test
0.792041143900567,t6,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t6,pairwise.t.test
0.706786827864264,t6,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t6,pairwise.t.test
0.787681343667405,t6,PC4,ColiGuard_vs_Control,ColiGuard,Control,all_t6,pairwise.t.test
0.338984893343412,t6,PC4,Control_vs_D-Scour,Control,D-Scour,all_t6,pairwise.t.test
0.0147949703435159,t6,PC4,Control_vs_Neomycin,Control,Neomycin,all_t6,pairwise.t.test
0.0839418319941773,t6,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t6,pairwise.t.test
0.0404973475357482,t6,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t6,pairwise.t.test
0.666575245492463,t6,PC5,ColiGuard_vs_Control,ColiGuard,Control,all_t6,pairwise.t.test
0.389537926780682,t6,PC5,Control_vs_D-Scour,Control,D-Scour,all_t6,pairwise.t.test
0.369887809151378,t6,PC5,Control_vs_Neomycin,Control,Neomycin,all_t6,pairwise.t.test
0.878641676388974,t6,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t6,pairwise.t.test
0.616181597307838,t6,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t6,pairwise.t.test
0.708337163483134,t8,PC1,ColiGuard_vs_Control,ColiGuard,Control,all_t8,pairwise.t.test
0.158496761054772,t8,PC1,Control_vs_D-Scour,Control,D-Scour,all_t8,pairwise.t.test
0.76730969827721,t8,PC1,Control_vs_Neomycin,Control,Neomycin,all_t8,pairwise.t.test
0.89922157378245,t8,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t8,pairwise.t.test
0.896092198657837,t8,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t8,pairwise.t.test
0.477284120762703,t8,PC2,ColiGuard_vs_Control,ColiGuard,Control,all_t8,pairwise.t.test
0.171153067768132,t8,PC2,Control_vs_D-Scour,Control,D-Scour,all_t8,pairwise.t.test
0.149641415312355,t8,PC2,Control_vs_Neomycin,Control,Neomycin,all_t8,pairwise.t.test
0.398357557987046,t8,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t8,pairwise.t.test
0.641973748071803,t8,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t8,pairwise.t.test
0.0567131141088564,t8,PC3,ColiGuard_vs_Control,ColiGuard,Control,all_t8,pairwise.t.test
0.0018064242484533,t8,PC3,Control_vs_D-Scour,Control,D-Scour,all_t8,pairwise.t.test
0.0108471683320338,t8,PC3,Control_vs_Neomycin,Control,Neomycin,all_t8,pairwise.t.test
0.00167859591382738,t8,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t8,pairwise.t.test
0.160194773287849,t8,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t8,pairwise.t.test
0.0354074340523533,t8,PC4,ColiGuard_vs_Control,ColiGuard,Control,all_t8,pairwise.t.test
0.0361981835215867,t8,PC4,Control_vs_D-Scour,Control,D-Scour,all_t8,pairwise.t.test
0.031612182384523,t8,PC4,Control_vs_Neomycin,Control,Neomycin,all_t8,pairwise.t.test
0.952664009610268,t8,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t8,pairwise.t.test
0.965613471498902,t8,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t8,pairwise.t.test
0.409083229046459,t8,PC5,ColiGuard_vs_Control,ColiGuard,Control,all_t8,pairwise.t.test
0.373793071072553,t8,PC5,Control_vs_D-Scour,Control,D-Scour,all_t8,pairwise.t.test
0.462746040332837,t8,PC5,Control_vs_Neomycin,Control,Neomycin,all_t8,pairwise.t.test
0.476230986488527,t8,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t8,pairwise.t.test
0.62123708829341,t8,PC5,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t8,pairwise.t.test
0.901215054760087,t9,PC1,ColiGuard_vs_Control,ColiGuard,Control,all_t9,pairwise.t.test
0.927896773614321,t9,PC1,Control_vs_D-Scour,Control,D-Scour,all_t9,pairwise.t.test
0.596478465477113,t9,PC1,Control_vs_Neomycin,Control,Neomycin,all_t9,pairwise.t.test
0.586413214603553,t9,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t9,pairwise.t.test
