collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test
t7,48,0.464865853291243,0.0664354413354777,0.0754512363553546,0.12246194112144,0.334515176676906,0.115447594941958,0.187731205419479,line,Kruskal-Wallis
t8,72,0.622093485626656,0.905957662308625,0.0300191303342222,0.418324809963021,0.4863570960399,0.339902107770013,0.52251938140192,line,Kruskal-Wallis
t9,47,0.401160413683542,0.16959521477523,0.339440646437857,0.244722005202357,0.528059650427869,0.266841132163423,0.584538904025958,line,Kruskal-Wallis
all,784,0.197875067878966,0.119206784677238,0.0322143299497479,0.398102068482182,0.000902035167969551,0.0186591222802182,0.123847477691692,birth day,Kruskal-Wallis
t0,126,0.000520937815419738,0.00367050478673146,0.21540111738156,0.0782734896190479,0.223161036372746,0.682963186119524,0.038768123094471,birth day,Kruskal-Wallis
t1,48,0.118434320148411,0.563231169859364,0.529309978321633,0.315542694585404,0.106228535813676,0.405919351155775,0.392271408354312,birth day,Kruskal-Wallis
t10,72,0.584098534088698,0.526706944232234,0.939826011204579,0.869782853182386,0.519080174401942,0.0760875801529528,0.126244107803166,birth day,Kruskal-Wallis
t2,118,0.407960686428196,0.0625477114123576,0.2536303306055,0.0694658540710016,0.00560186402775222,0.659864624229811,0.0520188162314794,birth day,Kruskal-Wallis
t3,49,0.435375509146755,0.566897339513324,0.225577558231501,0.713809158018879,0.959894258527998,0.0729137233178787,0.758469883643378,birth day,Kruskal-Wallis
t4,108,0.598197301080783,0.216107792072012,0.851848190759553,0.213871642807093,0.0223582108832684,0.628810209280282,0.182862447882286,birth day,Kruskal-Wallis
t5,24,0.957810163903774,0.908800098440262,0.665342237444035,0.980466870747144,0.966878807330533,0.468899682264749,0.771819344171268,birth day,Kruskal-Wallis
t6,72,0.930591413788575,0.966864721672892,0.201257832412095,0.612141160667873,0.141592995751002,0.213794715893649,0.168453631731839,birth day,Kruskal-Wallis
t7,48,0.492098218775491,0.742103583886603,0.085351251887484,0.227322503914344,0.000999300088222136,0.329212575381188,0.0697044280693374,birth day,Kruskal-Wallis
t8,72,0.939002920993583,0.937364719771773,0.102196407026987,0.654470350352743,0.742767125975169,0.244552410480334,0.819256744517292,birth day,Kruskal-Wallis
t9,47,0.328431327024281,0.302389559585086,0.458417580334873,0.69705418573621,0.564444285466534,0.489814641914989,0.0802932805840928,birth day,Kruskal-Wallis
t0,46,0.00330765773852663,0.0234261734212984,0.773557066561269,0.0287528268671774,0.63126440548484,0.198126367462536,0.0192141273979349,birth day - Duroc x Landrace,Kruskal-Wallis
t1,17,0.215105775867289,0.295655178521809,0.3312521480139,0.192344892463798,0.176302564710693,0.754258655169452,0.447270217011488,birth day - Duroc x Landrace,Kruskal-Wallis
t10,31,0.638496098625014,0.410380838132216,0.584816764211165,0.885691126140697,0.635924269488034,0.481112672259226,0.459557104284037,birth day - Duroc x Landrace,Kruskal-Wallis
t2,42,0.943753819189256,0.0132221562325216,0.671941902010954,0.00502238437312306,0.0234840771579029,0.426823309017789,0.10320077895457,birth day - Duroc x Landrace,Kruskal-Wallis
