diff,lwr,upr,p adj,type,comparison,padj_method
1.68370904379475,-7.18615493211391,10.5535730197034,0.999860111165028,unrooted_pd,P9-P4,TukeyHSD
1.80845367611279,-7.06141029979587,10.6783176520214,0.99974664446663,unrooted_pd,P10-P4,TukeyHSD
0.401614323896581,-8.07769542493178,8.88092407272495,0.99999999928859,unrooted_pd,P6-P5,TukeyHSD
0.920014627896009,-7.53706884483006,9.37709810062208,0.999998840294425,unrooted_pd,P7-P5,TukeyHSD
-0.42673571875325,-8.88381919147932,8.03034775397282,0.999999998745916,unrooted_pd,P8-P5,TukeyHSD
1.33658328120565,-7.53328069470301,10.2064472571143,0.999980265847543,unrooted_pd,P9-P5,TukeyHSD
1.46132791352369,-7.40853606238497,10.3311918894323,0.999957668695761,unrooted_pd,P10-P5,TukeyHSD
0.518400303999428,-7.96090944482894,8.99771005282779,0.999999993019167,unrooted_pd,P7-P6,TukeyHSD
-0.828350042649831,-9.30765979147819,7.65095970617853,0.999999550330404,unrooted_pd,P8-P6,TukeyHSD
0.934968957309067,-7.95608946691925,9.82602738153739,0.999999139337688,unrooted_pd,P9-P6,TukeyHSD
1.05971358962711,-7.83134483460121,9.95077201385543,0.999997417970611,unrooted_pd,P10-P6,TukeyHSD
-1.34675034664926,-9.80383381937533,7.11033312607681,0.999968323035599,unrooted_pd,P8-P7,TukeyHSD
0.416568653309639,-8.45329532259902,9.2864326292183,0.999999999340587,unrooted_pd,P9-P7,TukeyHSD
0.54131328562768,-8.32855069028098,9.41117726153634,0.999999993129278,unrooted_pd,P10-P7,TukeyHSD
1.7633189999589,-7.10654497594976,10.6331829758676,0.999794478324913,unrooted_pd,P9-P8,TukeyHSD
1.88806363227694,-6.98180034363172,10.7579276081856,0.999638845930797,unrooted_pd,P10-P8,TukeyHSD
0.124744632318041,-9.13952614511435,9.38901540975043,1,unrooted_pd,P10-P9,TukeyHSD
-0.00338846761603451,-0.0987159083962407,0.0919389731641717,0.999999999945848,bwpd,P2-P1,TukeyHSD
-0.0222012996226288,-0.11309244813508,0.0686898488898224,0.998902232062945,bwpd,P3-P1,TukeyHSD
-0.00119789213855048,-0.0920890406510018,0.0896932563739008,1,bwpd,P4-P1,TukeyHSD
0.00378211164275744,-0.0871090368696939,0.0946732601552087,0.999999999777143,bwpd,P5-P1,TukeyHSD
-0.0143815714930322,-0.105511593343864,0.0767484503577995,0.999970676151841,bwpd,P6-P1,TukeyHSD
-0.0173500483317421,-0.108241196844193,0.0735411001807091,0.99985342033311,bwpd,P7-P1,TukeyHSD
-0.00206107579478942,-0.0929522243072407,0.0888300727176619,0.999999999999171,bwpd,P8-P1,TukeyHSD
-0.0191733069257722,-0.114500747705978,0.076154133854434,0.999773619173046,bwpd,P9-P1,TukeyHSD
-0.0202962564648357,-0.115623697245042,0.0750311843153705,0.999638175015678,bwpd,P10-P1,TukeyHSD
-0.0188128320065943,-0.114140272786801,0.0765146087736119,0.999806590245982,bwpd,P3-P2,TukeyHSD
0.00219057547748402,-0.0931368653027222,0.0975180162576902,0.999999999999031,bwpd,P4-P2,TukeyHSD
0.00717057925879194,-0.0881568615214143,0.102498020038998,0.999999955681004,bwpd,P5-P2,TukeyHSD
-0.0109931038769977,-0.106548328591946,0.0845621208379509,0.999998105659569,bwpd,P6-P2,TukeyHSD
-0.0139615807157076,-0.109289021495914,0.0813658600644986,0.999984551979049,bwpd,P7-P2,TukeyHSD
0.00132739182124508,-0.0940000489589611,0.0966548326014513,1,bwpd,P8-P2,TukeyHSD
-0.0157848393097377,-0.115351103945381,0.0837814253259056,0.999969508652866,bwpd,P9-P2,TukeyHSD
-0.0169077888488012,-0.116474053484445,0.0826584757868422,0.99994525339246,bwpd,P10-P2,TukeyHSD
0.0210034074840784,-0.0698877410283729,0.11189455599653,0.99929587522078,bwpd,P4-P3,TukeyHSD
0.0259834112653863,-0.064907737247065,0.116874559777838,0.996268330313891,bwpd,P5-P3,TukeyHSD
0.00781972812959664,-0.0833102937212351,0.0989497499804284,0.999999857244186,bwpd,P6-P3,TukeyHSD
0.0048512512908867,-0.0860398972215646,0.095742399803338,0.999999997926659,bwpd,P7-P3,TukeyHSD
0.0201402238278394,-0.0707509246846119,0.111031372340291,0.999498690459866,bwpd,P8-P3,TukeyHSD
0.00302799269685661,-0.0922994480833496,0.0983554334770628,0.999999999980276,bwpd,P9-P3,TukeyHSD
0.00190504315779316,-0.093422397622413,0.0972324839379994,1,bwpd,P10-P3,TukeyHSD
0.00498000378130792,-0.0859111447311434,0.0958711522937592,0.999999997379123,bwpd,P5-P4,TukeyHSD
-0.0131836793544817,-0.104313701205313,0.07794634249635,0.999986105605917,bwpd,P6-P4,TukeyHSD
-0.0161521561931917,-0.107043304705643,0.0747389923192596,0.999919593233273,bwpd,P7-P4,TukeyHSD
-0.000863183656238942,-0.0917543321686902,0.0900279648562123,1,bwpd,P8-P4,TukeyHSD
-0.0179754147872218,-0.113302855567428,0.0773520259929845,0.999867679572443,bwpd,P9-P4,TukeyHSD
-0.0190983643262852,-0.114425805106491,0.076229076453921,0.999780844955787,bwpd,P10-P4,TukeyHSD
-0.0181636831357896,-0.109293704986621,0.0729663387150421,0.999790000498951,bwpd,P6-P5,TukeyHSD
-0.0211321599744996,-0.112023308486951,0.0697589885379517,0.999260355832982,bwpd,P7-P5,TukeyHSD
-0.00584318743754686,-0.0967343359499981,0.0850479610749044,0.99999998906663,bwpd,P8-P5,TukeyHSD
-0.0229554185685297,-0.118282859348736,0.0723720222116765,0.99902005672681,bwpd,P9-P5,TukeyHSD
-0.0240783681075931,-0.119405808887799,0.0712490726726131,0.998568679700974,bwpd,P10-P5,TukeyHSD
-0.00296847683870993,-0.0940984986895416,0.0881615450121218,0.999999999975271,bwpd,P7-P6,TukeyHSD
0.0123204956982428,-0.0788095261525889,0.103450517549075,0.999992263373366,bwpd,P8-P6,TukeyHSD
-0.00479173543274003,-0.100346960147689,0.0907634892822085,0.999999998813818,bwpd,P9-P6,TukeyHSD
-0.00591468497180347,-0.101469909686752,0.0896405397431451,0.999999992203703,bwpd,P10-P6,TukeyHSD
