comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin-D-Scour,-3.33697002848832,-20.2766624137635,13.6027223567869,0.99214199938052,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-1.9550266897988,-18.894719075074,14.9846656954764,0.999383241529557,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-4.56278445147596,-21.5024768367512,12.3769079337993,0.968190419221852,t4_t6,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-4.61316937233445,-21.5528617576097,12.3265230129408,0.966656604487836,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-3.23122603364492,-20.1709184189201,13.7084663516303,0.993229238331592,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-5.83898379532208,-22.7786761805973,11.1007085899531,0.912432227657049,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,1.38194333868953,-15.5577490465857,18.3216357239647,0.999887387976493,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,-1.22581442298763,-18.1655068082628,15.7138779622876,0.999937710536218,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-2.60775776167716,-19.5474501469524,14.3319346235981,0.99752927391533,t4_t6,anova,TukeyHSD,BWPD
D-Scour-Control,6.32427753147815,-9.20681326866472,21.855368331621,0.837324528963621,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,7.44716174594629,-8.08392905419659,22.9782525460892,0.722075897913939,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,-3.01905671519332,-18.5501475153362,12.5120340849496,0.992589843763163,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,3.61240441853913,-12.2677432410281,19.4925520781064,0.984828525445876,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,4.40099845914632,-11.1300923409966,19.9320892592892,0.960423806855336,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,1.12288421446813,-14.4082065856747,16.653975014611,0.999937793599907,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,-9.34333424667148,-24.8744250468144,6.1877565534714,0.494126185997274,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-2.71187311293902,-18.5920207725063,13.1682745466282,0.995950896039165,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-1.92327907233184,-17.4543698724747,13.607811727811,0.999129209451138,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-10.4662184611396,-25.9973092612825,5.06487233900326,0.365512510710839,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-3.83475732740715,-19.7149049869744,12.0453903321601,0.98019996698479,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-3.04616328679997,-18.5772540869428,12.4849275133429,0.992277527986701,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,6.63146113373246,-9.24868652583479,22.5116087932997,0.822448459196906,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,7.42005517433964,-8.11103562580323,22.9511459744825,0.725138183476351,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,0.788594040607183,-15.0915536189601,16.6687417001744,0.999990354345665,t6_t8,anova,TukeyHSD,unrooted_PD
