interval,mean,sum,sd,n,n_pos,perc_pos,n_neg,perc_neg,type,Cohort.x,dates
B-D,-11.4112902800343,-125.524193080377,15.311097696092,11,2,0.181818181818182,9,0.818181818181818,unrooted_pd,Neomycin+D-Scour,t2-t6
B-D,-8.66336456556855,-95.297010221254,13.6567474924583,11,3,0.272727272727273,8,0.727272727272727,unrooted_pd,Neomycin+ColiGuard,t2-t6
A-B,-5.11621576904469,-573.016166133005,8.2318922067651,112,29,0.258928571428571,83,0.741071428571429,bwpd,all,t0-t2
B-C,4.23033827671249,435.724842501386,8.79475108117719,103,78,0.757281553398058,25,0.242718446601942,bwpd,all,t2-t4
C-D,-3.81307157196158,-266.915010037311,11.237479473486,70,29,0.414285714285714,41,0.585714285714286,bwpd,all,t4-t6
D-E,0.837916020761205,58.6541214532844,8.68369009890173,70,36,0.514285714285714,34,0.485714285714286,bwpd,all,t6-t8
A-C,-1.13953832207681,-119.651523818065,9.15985626758851,105,49,0.466666666666667,56,0.533333333333333,bwpd,all,t0-t4
B-D,0.307842143357766,20.6254236049703,9.67668540994161,67,40,0.597014925373134,27,0.402985074626866,bwpd,all,t2-t6
A-B,-5.28040681375805,-116.168949902677,10.0315225551962,22,5,0.227272727272727,17,0.772727272727273,bwpd,Control,t0-t2
A-B,-3.72163417059778,-66.9894150707601,8.77476338073745,18,8,0.444444444444444,10,0.555555555555556,bwpd,D-Scour,t0-t2
A-B,-9.20627349789021,-156.506649464134,8.82881123526883,17,2,0.117647058823529,15,0.882352941176471,bwpd,ColiGuard,t0-t2
A-B,-1.59422881865899,-35.0730340104977,6.25751200869965,22,9,0.409090909090909,13,0.590909090909091,bwpd,Neomycin,t0-t2
A-B,-6.55698807931795,-118.025785427723,6.85590254217635,18,3,0.166666666666667,15,0.833333333333333,bwpd,Neomycin+D-Scour,t0-t2
A-B,-5.3501554838142,-80.252332257213,6.54670334051539,15,2,0.133333333333333,13,0.866666666666667,bwpd,Neomycin+ColiGuard,t0-t2
B-C,7.04999880575511,112.799980892082,6.00083244605944,16,15,0.9375,1,0.0625,bwpd,Control,t2-t4
B-C,1.82526893827289,32.854840888912,11.2758167390196,18,11,0.611111111111111,7,0.388888888888889,bwpd,D-Scour,t2-t4
B-C,3.76487935296395,64.0029490003871,8.55661540251023,17,13,0.764705882352941,4,0.235294117647059,bwpd,ColiGuard,t2-t4
B-C,1.35071245544018,22.9621117424831,9.84920346387111,17,12,0.705882352941177,5,0.294117647058824,bwpd,Neomycin,t2-t4
B-C,6.3219365457676,113.794857823817,8.92165484004949,18,13,0.722222222222222,5,0.277777777777778,bwpd,Neomycin+D-Scour,t2-t4
B-C,5.2535354208062,89.3101021537054,6.3178794189496,17,14,0.823529411764706,3,0.176470588235294,bwpd,Neomycin+ColiGuard,t2-t4
C-D,-4.6487973328256,-51.1367706610816,11.0280058115221,11,5,0.454545454545455,6,0.545454545454545,bwpd,Control,t4-t6
C-D,-3.0963143309596,-37.1557719715152,9.20257694113008,12,4,0.333333333333333,8,0.666666666666667,bwpd,D-Scour,t4-t6
C-D,-1.82011498711348,-21.8413798453617,14.3734654330762,12,6,0.5,6,0.5,bwpd,ColiGuard,t4-t6
C-D,-6.43328435944792,-77.1994123133751,10.9879498830209,12,3,0.25,9,0.75,bwpd,Neomycin,t4-t6
C-D,1.1206827402954,12.3275101432494,5.9196247357671,11,7,0.636363636363636,4,0.363636363636364,bwpd,Neomycin+D-Scour,t4-t6
C-D,-7.65909878243556,-91.9091853892267,13.569441104019,12,4,0.333333333333333,8,0.666666666666667,bwpd,Neomycin+ColiGuard,t4-t6
D-E,2.93889750134316,32.3278725147748,7.99738455185843,11,6,0.545454545454545,5,0.454545454545455,bwpd,Control,t6-t8
D-E,-0.454396245427814,-5.45275494513376,9.13236546443492,12,5,0.416666666666667,7,0.583333333333333,bwpd,D-Scour,t6-t8
