collection_date,Cohort,min,max,mean,sd,n,q25,q75,type
t0,all,34.5069541109834,146.560985560675,113.029625693147,14.7831595718928,126,105.363921831641,123.467447160369,unrooted_pd
t2,all,35.8640443985597,149.870171146474,126.951219892762,12.7811683065395,117,122.531277829951,134.119553267092,unrooted_pd
t4,all,88.0576424934859,151.36769958667,121.795139157235,12.0432791069943,108,115.578562610113,127.116859842413,unrooted_pd
t6,all,87.4685627643223,140.524803927098,118.911353405446,12.6868218449578,71,108.745680051531,130.167196656376,unrooted_pd
t8,all,90.9538519099989,142.480911437148,119.264066471828,10.2568765718872,72,112.24093138672,126.937114761737,unrooted_pd
t9,all,97.7631650943203,141.149250632791,118.411681935815,10.7510752227574,47,109.977651673416,125.836657546272,unrooted_pd
all,piglets,-1.4828747013628,153.68185755426,119.956616446559,14.7055731375626,784,112.005641794178,129.070245073904,unrooted
all,Sows,83.5682353685458,144.995261582035,120.934146655145,14.3160403696663,42,113.089947772262,132.066638212062,unrooted
all,piglets,1.39907976958131,3.03737945448194,2.12071039719651,0.142917389116172,784,2.02864717852657,2.20498866441173,bwpd
all,Sows,1.82511580896152,2.54800260733942,2.1183411048427,0.16286568319066,42,2.02104464223548,2.23777524508132,bwpd
all,Control,84.1319484795881,153.68185755426,119.443570339313,12.5437357271084,139,111.317051223644,128.340932760876,unrooted
all,D-Scour,87.4685627643223,150.324458292499,121.48637437579,12.2348147246363,129,112.85089062388,130.531820985946,unrooted
all,ColiGuard,22.0619254939318,146.560985560675,118.956032549293,16.3495840249202,128,111.801391922205,128.201264202973,unrooted
all,Neomycin,24.188575038948,151.36769958667,120.482367017598,16.6622445519047,134,112.401073130298,130.052224303173,unrooted
all,Neomycin+D-Scour,-1.4828747013628,144.259332199877,118.372897172384,16.7708532725754,127,111.401850593723,128.840676210364,unrooted
all,Neomycin+ColiGuard,84.8267698531977,148.687649424924,121.001743581893,12.9650904479226,127,112.123362510815,130.070472900945,unrooted
all,Sows,83.5682353685458,144.995261582035,120.934146655145,14.3160403696663,42,113.089947772262,132.066638212062,unrooted
all,MockCommunity,38.1650918222168,73.0987938860981,50.8231596724487,11.0014267998512,10,42.0015585949695,58.1518781613985,unrooted
all,PosControl_D-Scour,58.7682251157836,84.8891781179744,72.7876030697316,8.78947755220272,9,70.9868615975023,78.2652675098609,unrooted
all,PosControl_ColiGuard,50.9205483044459,89.8816847696602,67.2800204369891,12.6440160297234,9,60.5014059739486,77.4147270606631,unrooted
all,Control,1.75011159600942,2.49622200093678,2.12553530787701,0.136801975798639,139,2.05067447989336,2.20293317330816,bwpd
all,D-Scour,1.85319050426432,2.56291417361536,2.14905523653155,0.135709809033028,129,2.06693889199536,2.2279476544313,bwpd
all,ColiGuard,1.80444705465748,2.4877182518476,2.11291853326086,0.12916163278321,128,2.03356263252556,2.21263191250699,bwpd
all,Neomycin,1.70339367114712,3.03737945448194,2.11947200385519,0.165169231143111,134,2.023126801783,2.19537915375638,bwpd
all,Neomycin+D-Scour,1.39907976958131,2.5279717026999,2.11905342300571,0.137330596894009,127,2.03477417034689,2.19600470435038,bwpd
all,Neomycin+ColiGuard,1.65241807776968,2.65776639972525,2.09745521731399,0.147620478809523,127,2.0021793292869,2.1671738073744,bwpd
all,Sows,1.82511580896152,2.54800260733942,2.1183411048427,0.16286568319066,42,2.02104464223548,2.23777524508132,bwpd
all,MockCommunity,1.43305575658735,1.75601057236112,1.58274150174876,0.109989310295722,10,1.52454597569069,1.64804437157145,bwpd
all,PosControl_D-Scour,1.45806603774747,2.17241109870677,1.89635268177068,0.237620417826876,9,1.84947845874941,2.08786296188725,bwpd
all,PosControl_ColiGuard,0.676746934524012,1.18492755423528,0.825881321656497,0.15300678406001,9,0.723657961827487,0.834392828305644,bwpd
